url,status_code,fetch_class,title,title_length,meta_description,description_length,h1,word_count,indexable,noindex_reason,canonical,crawl_depth,internal_links_in,internal_links_out,response_time_ms,lighthouse_performance_score,lighthouse_lcp,lighthouse_cls,lighthouse_inp_tbt,lighthouse_fcp
https://www.myglobalhealth.online/,200,ok,Online Doctor Consultations in Europe & Brazil,46,"Speak with a locally-licensed doctor by video in Ireland, Portugal, Spain, Czechia, Romania or Brazil. Medical certificates, referrals and follow-up care.",154,,92,True,,,0,,33,325,,,,,
https://www.myglobalhealth.online/account,307,ok,,0,,0,,0,False,,,,,0,134,,,,,
https://www.myglobalhealth.online/brazil/en,200,ok,Online Doctor in Brazil | Video Consultations,45,"Video consultations with a CRM-registered doctor in Brazil. General care, prescription renewal and test requests depending on clinical assessment. Check times and price.",169,,1699,True,,,1,,55,177,,,,,
https://www.myglobalhealth.online/brazil/es,200,ok,Médico Online en Brasil | Consulta por Vídeo · Global Health,60,"Consulta por videollamada con un médico registrado en el CRM en Brasil. Medicina general, renovación de recetas y exámenes según la evaluación clínica. Consulta horarios y precio.",179,,1896,True,,,1,,55,163,,,,,
https://www.myglobalhealth.online/brazil/pt,200,ok,Médico Online no Brasil | Consulta por Vídeo · Global Health,60,"Consulta por videochamada com médico registrado no CRM. Clínica geral, renovação de receita e pedido de exames conforme avaliação clínica. Veja horários e preço.",161,,1849,True,,,1,,55,170,,,,,
https://www.myglobalhealth.online/brazil/pt/about,200,ok,Sobre a Global Health Brasil | Médicos online,45,"Global Health Brasil: consultas online por videochamada com médicos inscritos na Conselho Federal de Medicina, em Português / Inglês. O que oferecemos e quem somos.",164,,633,True,,,2,,36,354,,,,,
https://www.myglobalhealth.online/brazil/pt/blog,200,ok,Guias de saúde de médicos registrados em Brasil,47,"Guias de saúde baseados em evidências para o Brasil, escritos e revisados pela nossa equipe médica. Sem anúncios.",113,,452,True,,,2,,41,157,,,,,
https://www.myglobalhealth.online/brazil/pt/book,200,ok,Agende sua consulta — Brasil · Global Health,44,"Clínica médica no Brasil. Escolha o serviço, o médico, o horário e os dados do paciente.",88,,701,True,,,2,,54,221,,,,,
https://www.myglobalhealth.online/brazil/pt/careers,200,ok,Carreiras na Global Health Brasil,33,"Junte-se à Global Health em Brasil. Trabalhamos com médicos registados, equipas de apoio clínico e de tecnologia em toda a Europa e no Brasil. Veja como candidatar-se.",167,,277,True,,,2,,36,160,,,,,
https://www.myglobalhealth.online/brazil/pt/contact,200,ok,Contato | Médico Online Brasil | Global Health,46,Fale com a Global Health Brasil: info@myglobalhealth.online. Consultas online por videochamada com médicos registrados. Atendimento em português e inglês.,154,,440,True,,,2,,36,154,,,,,
https://www.myglobalhealth.online/brazil/pt/doctors,200,ok,Médicos registrados no CRM | Consultas online no Brasil,55,"Consulte médicos registrados no CRM disponíveis online no Brasil. Veja dados de registro, idiomas e horários de consulta por vídeo.",131,,1439,True,,,2,,37,199,,,,,
