"url","http_status","live_title","live_meta_description","description_length","matches_approved_copy","self_canonical","robots","checked_at"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-ana-leal-neto","200","Dra. Ana Leal Neto — Cardiologista | OM 60410","Agende uma videoconsulta com Dra. Ana Leal Neto — cardiologista registada na OM (nº 60410). Insuficiência cardíaca · Português, inglês e francês.","145","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-egas-moura","200","Dr. Egas Moura — Pediatra | OM 34823 · Global Health","Agende uma videoconsulta com Dr. Egas Moura — pediatra registado na OM (nº 34823). 20+ anos experiência · Neonatologia · Português e inglês.","140","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-joana-branco-maia","200","Dra. Joana Branco Maia — Médica e Psicóloga Clínica | OM 64572 · OPP 12055","Agende uma videoconsulta com Dra. Joana Branco Maia — médica (OM 64572) e psicóloga clínica (OPP 12055). Saúde mental integrada.","128","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-joao-de-oliveira-e-silva","200","Dr. João de Oliveira e Silva — Medicina Geral e Familiar | OM 68445","Agende uma videoconsulta com Dr. João de Oliveira e Silva — médico registado na OM (nº 68445). Medicina Geral e Familiar · Português e inglês.","142","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-lucas-alvarenga-berto","200","Dr. Lucas Alvarenga Berto — Médico de Clínica Geral | OM 79932","Agende uma videoconsulta com Dr. Lucas Alvarenga Berto — médico registado na OM (nº 79932). Medicina de emergência · Português e inglês.","136","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-margarida-andrade","200","Dra. Margarida Andrade — Medicina Geral e Familiar | OM 78297","Agende uma videoconsulta com Dra. Margarida Andrade — médica registada na OM (nº 78297). Urgência, Pediatria e MGF · Português, inglês e espanhol.","146","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-pedro-santos","200","Dr. Pedro Santos — Oncologista Médico | OM 33133","Agende uma videoconsulta com Dr. Pedro Santos — oncologista médico registado na OM (nº 33133). 30+ anos experiência · Português e inglês.","137","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-ruben-pereira","200","Dr. Rúben Pereira — Clínica Geral e Psiquiatria | OM 77228","Agende uma videoconsulta com Dr. Rúben Pereira — médico registado na OM (nº 77228). Interno de Psiquiatria · Português e inglês.","128","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dr-rui-diogo-rodrigues","200","Dr. Rui Diogo Rodrigues — Medicina Geral e Familiar | OM 74473","Agende uma videoconsulta com Dr. Rui Diogo Rodrigues — médico registado na OM (nº 74473). Telemedicina · Português e inglês.","124","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dra-ana-varges-gomes","200","Dra. Ana Varges Gomes — Oncologista Clínica | OM 44172","Agende uma videoconsulta com Dra. Ana Varges Gomes — oncologista clínica registada na OM (nº 44172). Cancro da cabeça e pescoço e pulmão.","137","true","true","index, follow","2026-09-03T20:05:00Z"
"https://www.myglobalhealth.online/portugal/pt/doctors/dra-nadia-cavaco","200","Dra. Nádia Cavaco — Médica de Clínica Geral | OM 73521","Agende uma videoconsulta com Dra. Nádia Cavaco — médica de clínica geral registada na OM (nº 73521). Atenção primária · Telemedicina.","133","true","true","index, follow","2026-09-03T20:05:00Z"
