"url","http_status","expected_title","rendered_title","title_matches_runtime_suffix_policy","expected_description","rendered_description","description_exact","canonical","self_canonical","hreflang_pt_PT","indexable","html_lang_pt","json_ld_present","no_unreviewed_insurance_suffix","deployment_match","deployment_commit","verified_at_utc"
"https://www.myglobalhealth.online/portugal/pt","200","Global Health Portugal | Cuidados médicos online","Global Health Portugal | Cuidados médicos online","true","Conheça os cuidados médicos online da Global Health em Portugal. Consulte os serviços disponíveis, os médicos e os passos para marcar uma consulta.","Conheça os cuidados médicos online da Global Health em Portugal. Consulte os serviços disponíveis, os médicos e os passos para marcar uma consulta.","true","https://www.myglobalhealth.online/portugal/pt","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","200","Consulta Médica Online em Portugal | Global Health","Consulta Médica Online em Portugal | Global Health","true","Consulta por videochamada com médico registado na Ordem dos Médicos, para sintomas agudos e questões clínicas. Disponibilidade conforme a agenda.","Consulta por videochamada com médico registado na Ordem dos Médicos, para sintomas agudos e questões clínicas. Disponibilidade conforme a agenda.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-medica","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","200","Médico de Família Online | Medicina Geral e Familiar","Médico de Família Online | Medicina Geral e Familiar","true","Consulta com especialista em Medicina Geral e Familiar, por videochamada segura, para doença crónica, cuidados continuados e medicina preventiva.","Consulta com especialista em Medicina Geral e Familiar, por videochamada segura, para doença crónica, cuidados continuados e medicina preventiva.","true","https://www.myglobalhealth.online/portugal/pt/services/medicina-geral-e-familiar","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","200","Baixa Médica Online: Consulta e Avaliação | Portugal","Baixa Médica Online: Consulta e Avaliação | Portugal","true","Avaliação médica online de falta ao trabalho, com médico registado na Ordem dos Médicos. Qualquer documento depende da decisão clínica.","Avaliação médica online de falta ao trabalho, com médico registado na Ordem dos Médicos. Qualquer documento depende da decisão clínica.","true","https://www.myglobalhealth.online/portugal/pt/services/baixa-medica","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","200","Atestado Médico Online: Avaliação Clínica | Portugal","Atestado Médico Online: Avaliação Clínica | Portugal","true","Avaliação online para atestados de caça, náutica, desporto federado e concursos públicos. A emissão depende do documento e da avaliação clínica.","Avaliação online para atestados de caça, náutica, desporto federado e concursos públicos. A emissão depende do documento e da avaliação clínica.","true","https://www.myglobalhealth.online/portugal/pt/services/certificados-medicos","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","200","Renovação de Receita Online: Avaliação Médica","Renovação de Receita Online: Avaliação Médica","true","Continuidade de tratamento com avaliação clínica por videochamada segura, com médicos registados na Ordem dos Médicos. A prescrição depende da decisão clínica.","Continuidade de tratamento com avaliação clínica por videochamada segura, com médicos registados na Ordem dos Médicos. A prescrição depende da decisão clínica.","true","https://www.myglobalhealth.online/portugal/pt/services/renovacao-de-tratamento","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","200","Consulta do Viajante Online | Portugal","Consulta do Viajante Online | Portugal · Global Health","true","Consulta do viajante por videochamada com médico registado. Avaliação dos riscos do destino e aconselhamento sobre vacinação e profilaxia.","Consulta do viajante por videochamada com médico registado. Avaliação dos riscos do destino e aconselhamento sobre vacinação e profilaxia.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-do-viajante","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","200","Referenciação Médica Online e Exames | Portugal","Referenciação Médica Online e Exames | Portugal","true","Avaliação médica por videochamada para eventual referenciação, análises ou imagiologia, com médicos registados na Ordem.","Avaliação médica por videochamada para eventual referenciação, análises ou imagiologia, com médicos registados na Ordem.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-referenciacao","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","200","Cardiologista Online | Consulta de Cardiologia","Cardiologista Online | Consulta de Cardiologia","true","Consulta com cardiologista registado na Ordem dos Médicos para risco cardiovascular, doença cardíaca ou segunda opinião, por videochamada segura.","Consulta com cardiologista registado na Ordem dos Médicos para risco cardiovascular, doença cardíaca ou segunda opinião, por videochamada segura.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-cardiologia","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-oncologia","200","Oncologista Online | Segunda Opinião em Oncologia","Oncologista Online | Segunda Opinião em Oncologia","true","Segunda opinião sobre diagnóstico ou tratamento oncológico, com oncologista registado na Ordem dos Médicos. Inclui apoio em cuidados paliativos.","Segunda opinião sobre diagnóstico ou tratamento oncológico, com oncologista registado na Ordem dos Médicos. Inclui apoio em cuidados paliativos.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-oncologia","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","200","Consulta de Pediatria Online | Médico de Clínica Geral","Consulta de Pediatria Online | Médico de Clínica Geral","true","Fale com um médico sobre a saúde do seu filho numa consulta pediátrica de cuidados primários, por videochamada segura. Consulte a agenda.","Fale com um médico sobre a saúde do seu filho numa consulta pediátrica de cuidados primários, por videochamada segura. Consulte a agenda.","true","https://www.myglobalhealth.online/portugal/pt/services/pediatria-geral","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psicologia","200","Psicóloga Online | Consulta de Psicologia","Psicóloga Online | Consulta de Psicologia · Global Health","true","Consulta por videochamada com psicóloga registada na OPP, para avaliação psicológica e terapia baseada em evidência.","Consulta por videochamada com psicóloga registada na OPP, para avaliação psicológica e terapia baseada em evidência.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psicologia","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psiquiatria","200","Psiquiatra Online | Consulta de Psiquiatria","Psiquiatra Online | Consulta de Psiquiatria · Global Health","true","Consulta por videochamada com psiquiatra registado na Ordem dos Médicos, para avaliação, revisão diagnóstica e gestão de saúde mental.","Consulta por videochamada com psiquiatra registado na Ordem dos Médicos, para avaliação, revisão diagnóstica e gestão de saúde mental.","true","https://www.myglobalhealth.online/portugal/pt/services/consulta-de-psiquiatria","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
"https://www.myglobalhealth.online/portugal/pt/services/saude-mental","200","Consulta de Saúde Mental Online | Portugal","Consulta de Saúde Mental Online | Portugal · Global Health","true","Avaliação confidencial de saúde mental por videochamada com médicos registados na Ordem dos Médicos. Numa crise, procure apoio imediato.","Avaliação confidencial de saúde mental por videochamada com médicos registados na Ordem dos Médicos. Numa crise, procure apoio imediato.","true","https://www.myglobalhealth.online/portugal/pt/services/saude-mental","true","true","true","true","true","true","true","e165ab094989de15d35be2111b1262ae44588b36","2026-09-01T21:39:48.385Z"
