"url","locale","service","kind","bookability","next_available_at","assigned_doctor_ids","consultation_languages","registration","scope","source"
"https://www.myglobalhealth.online/brazil/en/services/atestado-medico-online","en","atestado-medico-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-atestado-medico-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/consulta-clinica-online","en","consulta-clinica-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-consulta-clinica-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/consulta-pele-online","en","consulta-pele-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-consulta-pele-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/controle-peso-online","en","controle-peso-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-controle-peso-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/doencas-cronicas-online","en","doencas-cronicas-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-doencas-cronicas-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/musculoesqueletico-online","en","musculoesqueletico-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-musculoesqueletico-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/parar-de-fumar-online","en","parar-de-fumar-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-parar-de-fumar-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/pediatria-online","en","pediatria-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-pediatria-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/queda-cabelo-online","en","queda-cabelo-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-queda-cabelo-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/renovacao-receita-online","en","renovacao-receita-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-renovacao-receita-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/saude-da-mulher-online","en","saude-da-mulher-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-da-mulher-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/saude-do-homem-online","en","saude-do-homem-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-do-homem-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/saude-idoso-online","en","saude-idoso-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-idoso-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/saude-mental-online","en","saude-mental-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-mental-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/saude-sexual-ist-online","en","saude-sexual-ist-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-sexual-ist-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/saude-viagem-online","en","saude-viagem-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-viagem-online-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/segunda-opiniao-medica","en","segunda-opiniao-medica","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-segunda-opiniao-medica-EN.json"
"https://www.myglobalhealth.online/brazil/en/services/solicitacao-exames-online","en","solicitacao-exames-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-solicitacao-exames-online-EN.json"
"https://www.myglobalhealth.online/brazil/es/services/atestado-medico-online","es","atestado-medico-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-atestado-medico-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/consulta-clinica-online","es","consulta-clinica-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-consulta-clinica-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/consulta-pele-online","es","consulta-pele-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-consulta-pele-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/controle-peso-online","es","controle-peso-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-controle-peso-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/doencas-cronicas-online","es","doencas-cronicas-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-doencas-cronicas-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/musculoesqueletico-online","es","musculoesqueletico-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-musculoesqueletico-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/parar-de-fumar-online","es","parar-de-fumar-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-parar-de-fumar-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/pediatria-online","es","pediatria-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-pediatria-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/queda-cabelo-online","es","queda-cabelo-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-queda-cabelo-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/renovacao-receita-online","es","renovacao-receita-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-renovacao-receita-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/saude-da-mulher-online","es","saude-da-mulher-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-da-mulher-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/saude-do-homem-online","es","saude-do-homem-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-do-homem-online-ES.json"
"https://www.myglobalhealth.online/brazil/es/services/saude-idoso-online","es","saude-idoso-online","GENERAL","BOOKABLE","2026-09-15T10:00:00.000Z","cmqyzr0fb000o01lu9deh6mf5","Portuguese|English|Spanish","CFM regular PA11426/SP170837; family medicine RQE8822 in PA only","GENERAL; no specialist service expansion","raw/api/services-saude-idoso-online-ES.json"
