"url","status","title","h2","words","review","checked_at"
"https://www.medic.chat/","200","Medic Chat - Întreabă un doctor online. Telemedicină. Consultații online","Apariții în presă | Doctori de top | Cum funcționează? | În ce situații poți folosi Medic Chat? | Beneficii Consultații Online | Întrebări frecvente | 800+ doctori, 50+ specialități medicale | Articole redactate de medici | Afectiuni medicale frecvente","2119","retrieved; claims attributed to competitor","2026-09-12T20:23:30.174Z"
"https://www.reginamaria.ro/clinica-virtuala","500","The URL you requested has been blocked","block","28","blocked/error; no content conclusions","2026-09-12T20:23:31.040Z"
"https://www.medlife.ro/medlive","unavailable","","","","fetch failed",""
"https://ringdoc.ro/ro","200","Ringdoc - Consultații Medicale Online Rapide și Sigure","","8","retrieved; claims attributed to competitor","2026-09-12T20:23:42.014Z"
"https://centruldepediatrie.ro/consiliere-online/","unavailable","","","","fetch failed",""
"https://getvig.health/pediatrie/","200","Pediatru online | Consultatii online de pediatrie | Getvig.Health","Inregistrare Medici si Terapeuti | Intrebari Frecvente | Blog | Sfaturi Medicale | Specialitati Medicale | Medici Pediatri | Dr. Pavel Valentina | Dr. Podaru Daniela Alina | Dr. Chiriac Larisa | Dr. Nache Veronica Georgiana | Popa Catrinel Karina | Dr. Radu Roxana Magdalena | Testimoniale | Ce spun clientii Getvig.Health | Tipuri de Consultatii Online | Vorbeste pe Chat cu Echipa Getvig.Health | Articole despre Pediatrie din Blogul Getvig.Health | Aboneaza-te la Newsletter","1273","retrieved; claims attributed to competitor","2026-09-12T20:23:54.917Z"
"https://ringdoc.ro/ro/medici/pediatrie","200","Ringdoc - Consultații Medicale Online Rapide și Sigure","","8","retrieved; claims attributed to competitor","2026-09-12T20:23:55.325Z"
"https://neurolog.doctor/consultatii-online-neurologie/","200","Consultații Online Neurologie","Cât de utile sunt consultațiile online, punctual | Consultații online de neurologie cu cel puțin 15% mai economice | Consultații online neurologice moderne și sigure | Cum funcționează, pas cu pas | Cine este medicul dumneavoastră și de ce este un neurolog bun | Dr. Alin Teodosiu | Întrebări frecvente","2041","retrieved; claims attributed to competitor","2026-09-12T20:23:56.401Z"
"https://www.medic.chat/doctor-online/neurologie","200","Medic Neurolg Online - Consultatii & Intrebari Doctor Online | Medic Chat","Apariții în presă | Doctori de top | Consultații și întrebări neurologie online | În ce situații poți folosi Medic Chat? | Beneficii consultații online | Întrebări frecvente | Articole redactate de medici | Afectiuni medicale frecvente","938","retrieved; claims attributed to competitor","2026-09-12T20:23:56.740Z"
"https://www.neuroaxis.ro/specialitati/consultatii-online/","200","Consultații online | Neuroaxis","Programare online în câțiva pași simpli | Solicită o programare | De ce să alegi Clinica Neuroaxis | Întrebări frecvente despre consultația online | Neurologie | Epileptologie | Psihologie clinică | Somnologie | Ce spun pacienții Neuroaxis","1291","retrieved; claims attributed to competitor","2026-09-12T20:23:58.240Z"
"https://www.medlife.ro/neurologie","unavailable","","","","fetch failed",""
"https://getvig.health/neurologie-si-neurochirurgie/","200","Neurolog online | Consultatii neurologice de specialitate | Getvig.Health","Inregistrare Medici si Terapeuti | Intrebari Frecvente | Blog | Sfaturi Medicale | Specialitati Medicale | Neurologi si Neurochirurgi | Dr. Marin Huana Carmencita Aurora | Testimoniale | Ce spun clientii Getvig.Health | Tipuri de Consultatii Online | Vorbeste pe Chat cu Echipa Getvig.Health | Aboneaza-te la Newsletter","1152","retrieved; claims attributed to competitor","2026-09-12T20:24:10.755Z"
"https://www.medlife.ro/articole-medicale/a-doua-opinie-medicala-sfaturi-pacienti","unavailable","","","","fetch failed",""
"https://www.sanador.ro/second-opinion","200","Second opinion - A doua opinie medicală | SANADOR","Ce este a doua opinie | Cand trebuie solicitata o a doua opinie | Ce se poate obtine in urma unei a doua opinii | Cum se utilizeaza informatia obtinuta in urma unei a doua opinii | Rămâneți la curent cu noutățile SANADOR","938","retrieved; claims attributed to competitor","2026-09-12T20:24:23.214Z"
"https://www.reginamaria.ro/articole-medicale/sanatatea-familiei/cand-ai-nevoie-de-doua-opinie-medicala","500","The URL you requested has been blocked","block","28","blocked/error; no content conclusions","2026-09-12T20:24:23.837Z"
