"url","locale","page_type","discovery","http_status","canonical","robots","keyword_ownership","keyword_evidence","observed_queries","current_clicks","current_impressions","previous_clicks","previous_impressions","existing_title","existing_description","existing_h1","proposed_fields","faq_native","faq_embedded","faq_proposed_patches","faq_proposed_additions","source_fingerprint","source","disposition","reason","review_status","implementation_status","draft_key","link_changes"
"https://www.myglobalhealth.online/spain/cs","cs","home","sitemap","200","https://www.myglobalhealth.online/spain/cs","index, follow","","editorial page role; unmeasured","","0","8","0","4","Online lékař Španělsko | Registrovaní lékaři a specialisté","Promluvte si ještě dnes s registrovaným lékařem přes videohovor — konzultace s praktickým lékařem, potvrzení, odeslání ke specialistovi. Termíny tentýž den, Španělsko.","Online lékařská péče ve Španělsku","{}","","","0","0","d3cc388ce3f07c3f527fa29110b7d46e8f3ed9d94d3ed9507115e5339ddaa3b3","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/about","cs","about","sitemap","200","https://www.myglobalhealth.online/spain/cs/about","index, follow","","editorial page role; unmeasured","","0","0","0","0","O Global Health Španělsko | Lékaři online · Global Health","Global Health Španělsko: online konzultace videohovorem s lékaři registrovanými u Colegio Oficial de Médicos, v jazycích španělština / angličtina. Co nabízíme a kdo jsme.","O Global Health Španělsko","{}","","","0","0","8733ef3613007f2d7918a513346351cb34493a68760ca7db398b8a8797726052","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog","cs","blog","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog","index, follow","","editorial page role; unmeasured","","0","3","0","0","Zdravotní příručky od registrovaných lékařů – Španělsko","Zdravotní příručky založené na důkazech pro Španělsko, které napsal a zkontroloval náš lékařský tým.","Zdravotní příručky od registrovaných lékařů.","{}","","","0","0","23b01984e77c00789d167860d678c49875a8170e871b331e8a76d7ea10d3b322","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/dermatolog-online-spanelsko","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/dermatolog-online-spanelsko","index, follow","","observed GSC query/page; no volume inference","dermatolog online | online dermatolog | dermatologista","0","23","0","0","Dermatolog online: co vyřeší a co ne · Global Health","Dermatolog online ve Španělsku: které kožní potíže lze řešit přes video nebo fotografie, co vyžaduje osobní vyšetření a jak pořídit použitelné fotky.","Dermatolog online ve Španělsku: co vyřeší a co vyžaduje osobní vyšetření","{}","","","0","0","52bb8a8a647a67068d680fa585573a9e6a65cdff73431ee3e4ed1eb1108a36b0","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/diabetes-tiche-onemocneni","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/diabetes-tiche-onemocneni","index, follow","","editorial page role; unmeasured","","0","0","0","0","Diabetes ve Španělsku: příčiny, příznaky, léčba a budoucnost péče","Diabetes ve Španělsku: příčiny, příznaky, léčba GLP-1 a SGLT2, pravidelné kontroly a další vývoj péče.","Diabetes: tiché onemocnění","{}","","","0","0","5877c5e9252ebbf1b5fc591e54221eb6dc7c4cace790b8c371e6b2c6adf49d6a","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/jak-snizit-krevni-tlak-co-funguje-podle-smernic-a-co-jen-vypada-ze-funguje","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/jak-snizit-krevni-tlak-co-funguje-podle-smernic-a-co-jen-vypada-ze-funguje","index, follow","","observed GSC query/page; no volume inference","jak snížit krevní tlak okamžitě | lipový čaj a vysoký tlak","0","6","0","0","Jak snížit krevní tlak: co skutečně funguje · Global Health","Pět opatření s prokázaným účinkem na krevní tlak, jak dlouho trvají, co říká směrnice ESC 2024 o bylinných čajích a kdy volat 112.","Jak snížit krevní tlak: co funguje podle směrnic a co jen vypadá, že funguje","{}","","","0","0","07f1dc75d4ab599f20740a27fcd0721bfaf1459d555185fb5a78faba7d093eb0","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/medical-review-policy","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/medical-review-policy","index, follow","","editorial page role; unmeasured","","0","0","0","0","Zásady lékařské revize — Global Health Španělsko","Jak Global Health píše, reviduje a aktualizuje zdravotnické články publikované pro Španělsko: kdo je píše, který registrovaný lékař je schvaluje a jaké redakční standardy dodržujeme.","Jak píšeme a revidujeme lékařský obsah","{}","","","0","0","f8ccdad720300654b4bb364f3960f8341c7a6c29adec85aa17237a6c002c93f4","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/normalni-krevni-tlak-prehled-podle-veku-a-pohlavi-bez-mytu","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/normalni-krevni-tlak-prehled-podle-veku-a-pohlavi-bez-mytu","index, follow","","editorial page role; unmeasured","","0","0","0","0","Normální krevní tlak podle věku a pohlaví · Global Health","Jaký krevní tlak je u dospělých normální, proč neexistuje jiná tabulka pro muže a ženy a kdy je vhodné vyhledat lékaře.","Normální krevní tlak: přehled podle věku a pohlaví bez mýtů","{}","","","0","0","4a8a58daab14d89ac27fdf3f520daac8486dfbf6af7b407220f916b4ac32f2dd","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/pracovni-neschopnost-uzkost-spanelsko","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/pracovni-neschopnost-uzkost-spanelsko","index, follow","","observed GSC query/page; no volume inference","úzkostná porucha pracovní neschopnost","1","5","0","0","Neschopnost pro úzkost ve Španělsku: kdo ji vystaví","Pracovní neschopnost pro úzkost ve Španělsku: kdo vystavuje parte de baja, co lékař posuzuje, co se dozví zaměstnavatel a co je lékařská inspekce.","Pracovní neschopnost pro úzkost ve Španělsku: kdo ji vystavuje a co se posuzuje","{}","","","0","0","d6aaa776bec70fbee39ce24e0e3ac44333579d419719e80ec62dcf3a7dd7d7d5","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
"https://www.myglobalhealth.online/spain/cs/blog/vysoky-krevni-tlak-priznaky-pohotovost-spanelsko","cs","article","sitemap","200","https://www.myglobalhealth.online/spain/cs/blog/vysoky-krevni-tlak-priznaky-pohotovost-spanelsko","index, follow","","editorial page role; unmeasured","","0","0","0","0","Vysoký tlak: příznaky a pohotovost ve Španělsku","Varovné příznaky, volání 112 ve Španělsku a bezpečný postup při velmi vysokém tlaku bez svévolných dávek či domácí léčby.","Vysoký krevní tlak: příznaky a pohotovost ve Španělsku","{}","","","0","0","9f7a5a4b075228252b16f39683fbb4ea7f418b9151d31fa22f07753b8ded820d","raw/public-inventory-2026-09-13.json","retain with evidence","Live metadata, canonical and content retained; no demonstrated benefit from rewriting this page. Retention does not certify clinical/legal claims.","retained; no new certification","no mutation","",""
